apps/frappe/frappe/model/base_document.py +365,Data missing in table,
DocType: Communication,Date,
DocType: System Settings,Date Format,
DocType: System Settings,Date and Number Format,
apps/frappe/frappe/public/js/frappe/form/control.js +573,Date must be in format: {0},
DocType: DocField,Datetime,
DocType: Email Alert,Days After,
DocType: Email Alert,Days Before,
DocType: Email Alert,Days Before or After,
apps/frappe/frappe/public/js/frappe/views/communication.js +423,Dear,
apps/frappe/frappe/core/doctype/user/user.py +537,"Dear System Manager,",
apps/frappe/frappe/desk/page/activity/activity.js +204,Dec,
DocType: DocField,Default,
apps/frappe/frappe/email/doctype/email_account/email_account_list.js +10,Default Inbox,
DocType: Email Account,Default Incoming,
DocType: Email Account,Default Outgoing,
DocType: DocType,Default Print Format,
apps/frappe/frappe/email/doctype/email_account/email_account_list.js +14,Default Sending,
apps/frappe/frappe/email/doctype/email_account/email_account_list.js +6,Default Sending and Inbox,
DocType: Custom Field,Default Value,
apps/frappe/frappe/core/doctype/doctype/doctype.py +313,Default for 'Check' type of field must be either '0' or '1',
apps/frappe/frappe/core/doctype/doctype/doctype.py +315,Default for {0} must be an option,
DocType: Contact Us Settings,"Default: ""Contact Us""",
DocType: DefaultValue,DefaultValue,
DocType: User,Defaults,
apps/frappe/frappe/config/setup.py +171,Define workflows for forms.,
DocType: Workflow Transition,Defines actions on states and the next step and allowed roles.,
DocType: Workflow,Defines workflow states and rules for a document.,
DocType: Communication,Delayed,
DocType: DocPerm,Delete,
apps/frappe/frappe/public/js/frappe/list/doclistview.js +538,Delete permanently?,
apps/frappe/frappe/email/doctype/email_unsubscribe/email_unsubscribe.py +16,Delete this record to allow sending to this email address,
DocType: Communication,Deleted,
DocType: Communication,Delivery Status,
DocType: DocField,Depends On,
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +463,Descending,
DocType: DocField,Description,
DocType: ToDo,Description and Status,
DocType: Blog Post,"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",
DocType: Web Page,Description for search engine optimization.,
DocType: Event,Desk,
,Desktop,
DocType: User,Desktop Background,
apps/frappe/frappe/public/js/frappe/form/footer/timeline_item.html +50,Details,
apps/frappe/frappe/config/desktop.py +38,Developer,
apps/frappe/frappe/desk/page/applications/applications.js +47,Developer Tools,
apps/frappe/frappe/public/js/frappe/form/link_selector.js +5,Dialog box to select a Link Value,
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +403,Did not add,
apps/frappe/frappe/desk/form/save.py +46,Did not cancel,
apps/frappe/frappe/core/page/data_import_tool/importer.py +285,Did not find {0} for {0} ({1}),
apps/frappe/frappe/desk/form/load.py +43,Did not load,
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +323,Did not remove,
apps/frappe/frappe/desk/form/save.py +30,Did not save,
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +474,Did not set,
DocType: Workflow,"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.",
DocType: Website Settings,Disable Customer Signup link in Login page,
apps/frappe/frappe/core/doctype/report/report.js +37,Disable Report,
DocType: Website Settings,Disable Signup,
DocType: System Settings,Disable Standard Email Footer,
DocType: Report,Disabled,
DocType: DocField,Display,
DocType: DocField,Do not allow user to change after set the first time,
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +47,"Do not update, but insert new records.",
DocType: Workflow Document State,Doc Status,
DocType: DocField,DocField,
DocType: DocPerm,DocPerm,
DocType: DocShare,DocShare,
DocType: DocType,DocType,
apps/frappe/frappe/core/doctype/doctype/doctype.py +159,DocType can not be merged,
